Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20230509,1,Ndata,1360.6,1360.5,1360.4,1360.5,1360.4
FN,20230509,1,Ndata,1356.5,1356.4,1356.3,1356.5,1356.4
FA,20230509,1,Ndata,1360.6,1360.5,1360.6,1360.6,1360.6
FN,20230509,1,Sample,1416.2,1416.1,1416.1,1416.2,1416.2
FA,20230511,2,Ndata,1360.6,1360.5,1360.6,1360.6,1360.6
FN,20230511,2,Ndata,1354.3,1354.2,1354.2,1354.1,1354.3
FA,20230511,2,Ndata,1360.2,1360.5,1360.5,1360.4,1360.5
FN,20230511,2,Sample,1426.7,1426.7,1426.9,1426.8,1426.8
FA,20230512,3,Ndata,1360.2,1360.5,1360.5,1360.4,1360.5
FN,20230512,3,Ndata,1354.5,1354.5,1354.6,1354.5,1354.6
FA,20230512,3,Ndata,1360.6,1360.5,1360.7,1360.6,1360.6
FN,20230512,3,Sample,1412.5,1412.4,1412.5,1412.5,1412.4
FA,20230515,4,Ndata,1360.6,1360.5,1360.7,1360.6,1360.6
FN,20230515,4,Ndata,1355.2,1355.1,1355.1,1355.2,1355.3
FA,20230515,4,Ndata,1360.6,1360.4,1360.5,1360.5,1360.6
FN,20230515,4,Sample,1412.4,1412.2,1412.3,1412.3,1412.3
FA,20230516,5,Ndata,1360.6,1360.4,1360.5,1360.5,1360.6
FN,20230516,5,Ndata,1353,1353.1,1353,1353.1,1353.2
FA,20230516,5,Ndata,1360.4,1360.5,1360.4,1360.4,1360.5
FN,20230516,5,Sample,1410.3,1410.2,1410.3,1410.3,1410.1
FA,20230517,6,Ndata,1360.4,1360.5,1360.4,1360.4,1360.5
FN,20230517,6,Ndata,1358.1,1358,1358.1,1358,1358
FA,20230517,6,Ndata,1360.7,1360.7,1360.8,1360.8,1360.7
FN,20230517,6,Sample,1419,1418.9,1419,1418.8,1419
FA,20230518,7,Ndata,1360.7,1360.7,1360.8,1360.8,1360.7
FN,20230518,7,Ndata,1352.3,1352.1,1352.2,1352.2,1352.1
FA,20230518,7,Ndata,1360.7,1360.5,1360.5,1360.6,1360.7
FN,20230518,7,Sample,1405.1,1405.2,1405,1405,1405.2
