Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W005_G4A_10_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_1_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_2_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_3_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_4_ATa.TIF,1,0.014,0.014,0.013,0.775,0.286,0.791
MP_W005_G4A_5_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_6_ATa.TIF,1,0.009,0.009,0.008,0.593,0.315,0.653
MP_W005_G4A_7_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_8_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_9_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_10_Atr.TIF,12,0.37,0.031,0.355,1.928,0.174,0.478
MP_W005_G4A_1_Atr.TIF,10,0.174,0.017,0.167,1.05,0.259,0.573
MP_W005_G4A_2_Atr.TIF,13,0.298,0.023,0.286,1.429,0.191,0.475
MP_W005_G4A_3_Atr.TIF,7,0.138,0.02,0.132,1.14,0.269,0.597
MP_W005_G4A_4_Atr.TIF,8,0.112,0.014,0.107,0.95,0.207,0.551
MP_W005_G4A_5_Atr.TIF,10,0.187,0.019,0.18,1.116,0.286,0.591
MP_W005_G4A_6_Atr.TIF,15,0.324,0.022,0.311,1.382,0.168,0.486
MP_W005_G4A_7_Atr.TIF,20,0.443,0.022,0.425,1.404,0.221,0.515
MP_W005_G4A_8_Atr.TIF,8,0.27,0.034,0.259,2.12,0.21,0.475
MP_W005_G4A_9_Atr.TIF,11,0.185,0.017,0.178,1.091,0.214,0.541
MP_W005_G4A_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_positive_Atr.TIF,10,0.208,0.021,0.2,1.205,0.232,0.502
MP_W005_G4A_10_AtrTa.TIF,11,0.393,0.036,0.377,2.27,0.159,0.411
MP_W005_G4A_1_AtrTa.TIF,12,0.261,0.022,0.251,1.436,0.215,0.454
MP_W005_G4A_2_AtrTa.TIF,11,0.276,0.025,0.264,1.321,0.22,0.474
MP_W005_G4A_3_AtrTa.TIF,15,0.259,0.017,0.249,1.104,0.225,0.515
MP_W005_G4A_4_AtrTa.TIF,9,0.148,0.016,0.142,1.051,0.253,0.527
MP_W005_G4A_5_AtrTa.TIF,9,0.183,0.02,0.176,1.276,0.221,0.521
MP_W005_G4A_6_AtrTa.TIF,28,0.537,0.019,0.516,1.241,0.175,0.47
MP_W005_G4A_7_AtrTa.TIF,17,0.41,0.024,0.394,1.606,0.225,0.523
MP_W005_G4A_8_AtrTa.TIF,12,0.336,0.028,0.323,1.724,0.213,0.518
MP_W005_G4A_9_AtrTa.TIF,13,0.162,0.012,0.156,0.876,0.223,0.534
MP_W005_G4A_10_B.TIF,1,0.008,0.008,0.007,0.489,0.396,0.723
MP_W005_G4A_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_3_B.TIF,1,0.007,0.007,0.006,0.483,0.353,0.594
MP_W005_G4A_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_5_B.TIF,2,0.034,0.017,0.033,0.93,0.253,0.591
MP_W005_G4A_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4A_positive_B.TIF,13,0.259,0.02,0.249,1.145,0.248,0.533
MP_W005_G4B_10_ATa.TIF,1,0.021,0.021,0.02,0.924,0.311,0.712
MP_W005_G4B_1_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_2_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_3_ATa.TIF,1,0.009,0.009,0.009,0.694,0.236,0.754
MP_W005_G4B_4_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_5_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_6_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_7_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_8_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_9_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_10_Atr.TIF,7,0.227,0.032,0.218,1.83,0.149,0.486
MP_W005_G4B_1_Atr.TIF,16,0.284,0.018,0.273,1.13,0.214,0.523
MP_W005_G4B_2_Atr.TIF,13,0.206,0.016,0.198,0.944,0.239,0.551
MP_W005_G4B_3_Atr.TIF,8,0.076,0.01,0.073,0.649,0.346,0.697
MP_W005_G4B_4_Atr.TIF,13,0.185,0.014,0.177,0.946,0.243,0.516
MP_W005_G4B_5_Atr.TIF,12,0.21,0.017,0.201,1.117,0.215,0.533
MP_W005_G4B_6_Atr.TIF,16,0.297,0.019,0.285,1.161,0.21,0.534
MP_W005_G4B_7_Atr.TIF,11,0.272,0.025,0.261,1.485,0.178,0.483
MP_W005_G4B_8_Atr.TIF,14,0.41,0.029,0.393,1.733,0.14,0.427
MP_W005_G4B_9_Atr.TIF,13,0.161,0.012,0.154,0.809,0.279,0.671
MP_W005_G4B_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W005_G4B_positive_Atr.TIF,10,0.208,0.021,0.2,1.205,0.232,0.502
MP_W005_G4B_10_AtrTa.TIF,7,0.231,0.033,0.222,1.911,0.207,0.498
MP_W005_G4B_1_AtrTa.TIF,15,0.185,0.012,0.178,0.913,0.191,0.508
MP_W005_G4B_2_AtrTa.TIF,15,0.25,0.017,0.24,0.965,0.259,0.562
MP_W005_G4B_3_AtrTa.TIF,11,0.132,0.012,0.127,0.847,0.276,0.564
MP_W005_G4B_4_AtrTa.TIF,11,0.166,0.015,0.159,0.899,0.299,0.546
MP_W005_G4B_5_AtrTa.TIF,11,0.217,0.02,0.208,1.238,0.2,0.508
MP_W005_G4B_6_AtrTa.TIF,17,0.34,0.02,0.327,1.191,0.225,0.544
