Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4B_1000g_R1_SH.TIF,116,7.218,0.062,6.848,2.931,0.165,0.397
MP_W000_G4B_1000g_R2_SH.TIF,118,8.681,0.074,8.236,3.379,0.149,0.377
MP_W000_G4B_1000g_R3_SH.TIF,107,7.8,0.073,7.4,3.255,0.149,0.386
MP_W000_G4B_1000g_R4_SH.TIF,122,6.898,0.057,6.545,2.802,0.146,0.367
MP_W000_G4B_1000g_R5_SH.TIF,130,5.454,0.042,5.174,2.195,0.171,0.407
MP_W000_G4B_100g_R1_SH.TIF,69,3.015,0.044,2.861,2.408,0.147,0.361
MP_W000_G4B_100g_R2_SH.TIF,81,4.712,0.058,4.471,3.039,0.149,0.355
MP_W000_G4B_100g_R3_SH.TIF,103,4.799,0.047,4.552,2.447,0.155,0.379
MP_W000_G4B_100g_R4_SH.TIF,91,5.112,0.056,4.85,2.975,0.145,0.361
MP_W000_G4B_100g_R5_SH.TIF,99,5.231,0.053,4.963,2.665,0.155,0.379
MP_W000_G4B_2000g_R1_SH.TIF,141,8.498,0.06,8.062,2.623,0.184,0.434
MP_W000_G4B_2000g_R2_SH.TIF,130,6.838,0.053,6.487,2.567,0.157,0.394
MP_W000_G4B_2000g_R3_SH.TIF,131,5.404,0.041,5.127,2.133,0.173,0.42
MP_W000_G4B_2000g_R4_SH.TIF,137,7.136,0.052,6.77,2.63,0.166,0.409
MP_W000_G4B_2000g_R5_SH.TIF,133,7.931,0.06,7.525,2.815,0.17,0.418
MP_W000_G4B_200g_R1_SH.TIF,104,5.394,0.052,5.118,2.604,0.161,0.398
MP_W000_G4B_200g_R2_SH.TIF,108,15.675,0.145,14.872,4.955,0.167,0.413
MP_W000_G4B_200g_R3_SH.TIF,85,17.214,0.203,16.332,6.499,0.171,0.408
MP_W000_G4B_200g_R4_SH.TIF,107,11.847,0.111,11.24,4.627,0.161,0.394
MP_W000_G4B_200g_R5_SH.TIF,111,10.495,0.095,9.957,4.146,0.146,0.372
MP_W000_G4B_400g_R1_SH.TIF,121,8.389,0.069,7.959,3.198,0.176,0.411
MP_W000_G4B_400g_R2_SH.TIF,125,7.461,0.06,7.078,2.807,0.16,0.4
MP_W000_G4B_400g_R3_SH.TIF,94,7.884,0.084,7.48,3.856,0.166,0.389
MP_W000_G4B_400g_R4_SH.TIF,108,7.479,0.069,7.096,3.296,0.147,0.386
MP_W000_G4B_400g_R5_SH.TIF,99,6.254,0.063,5.933,3.185,0.146,0.362
MP_W000_G4B_800g_R1_SH.TIF,100,11.65,0.116,11.052,4.605,0.176,0.423
MP_W000_G4B_800g_R2_SH.TIF,112,12.829,0.115,12.172,4.504,0.162,0.4
MP_W000_G4B_800g_R3_SH.TIF,111,11.853,0.107,11.245,4.485,0.163,0.388
MP_W000_G4B_800g_R4_SH.TIF,119,9.089,0.076,8.623,3.344,0.153,0.386
MP_W000_G4B_800g_R5_SH.TIF,112,9.272,0.083,8.797,3.431,0.189,0.426
MP_W001_G4B_1000g_R1_SH.TIF,97,24.244,0.25,23.001,5.553,0.213,0.492
MP_W001_G4B_1000g_R2_SH.TIF,80,29.189,0.365,27.693,6.531,0.223,0.511
MP_W001_G4B_1000g_R3_SH.TIF,61,30.405,0.498,28.846,7.297,0.215,0.504
MP_W001_G4B_1000g_R4_SH.TIF,99,26.676,0.269,25.308,6.395,0.208,0.489
MP_W001_G4B_1000g_R5_SH.TIF,34,44.03,1.295,41.772,7.062,0.221,0.506
MP_W001_G4B_100g_R1_SH.TIF,89,19.473,0.219,18.474,6.277,0.183,0.451
MP_W001_G4B_100g_R2_SH.TIF,90,17.534,0.195,16.635,6.425,0.202,0.461
MP_W001_G4B_100g_R3_SH.TIF,127,10.944,0.086,10.383,3.715,0.173,0.414
MP_W001_G4B_100g_R4_SH.TIF,111,12.535,0.113,11.892,4.043,0.186,0.437
MP_W001_G4B_100g_R5_SH.TIF,66,24.945,0.378,23.666,7.877,0.224,0.503
MP_W001_G4B_2000g_R1_SH.TIF,38,44.186,1.163,41.92,5.897,0.234,0.541
